mode,search_strategy,ub_mode,instance_name,instance_type,n,instance_id,seed,initial_ub_cost,initial_ub_time_ms,best_cost,opt_cost,relative_error_percent,time_ms,total_time_ms,rss_kb,frontier_peak,max_depth,nodes_generated,nodes_expanded,nodes_pruned,solved,hit_time_limit,hit_memory_limit
compare_ub,dfs,none,generated_tsp_6_id6,TSP,6,6,18351,-1,-1,1640,1640,0,0.017844,0.017844,3968,11,6,77,30,41,1,0,0
compare_ub,dfs,rnn_ties,generated_tsp_6_id6,TSP,6,6,18351,1640,0.002164,1640,1640,0,0.014387,0.016551,3968,4,5,43,13,30,1,0,0
compare_ub,lc,none,generated_tsp_6_id6,TSP,6,6,18351,-1,-1,1640,1640,0,0.018014,0.018014,3968,30,6,44,14,29,1,0,0
compare_ub,lc,rnn_ties,generated_tsp_6_id6,TSP,6,6,18351,1640,0.001623,1640,1640,0,0.015238,0.016861,3968,5,5,43,13,30,1,0,0
compare_ub,bfs,none,generated_tsp_6_id7,TSP,6,7,18352,-1,-1,2294,2294,0,0.028383,0.028383,3968,120,6,207,87,119,1,0,0
compare_ub,bfs,rnn_ties,generated_tsp_6_id7,TSP,6,7,18352,2521,0.002364,2294,2294,0,0.017543,0.019907,3968,13,6,82,29,52,1,0,0
compare_ub,dfs,none,generated_tsp_6_id7,TSP,6,7,18352,-1,-1,2294,2294,0,0.0159,0.0159,3968,11,6,51,16,34,1,0,0
compare_ub,dfs,rnn_ties,generated_tsp_6_id7,TSP,6,7,18352,2521,0.001683,2294,2294,0,0.015149,0.016832,3968,6,6,51,16,34,1,0,0
compare_ub,lc,none,generated_tsp_6_id7,TSP,6,7,18352,-1,-1,2294,2294,0,0.021139,0.021139,3968,35,6,51,16,34,1,0,0
compare_ub,lc,rnn_ties,generated_tsp_6_id7,TSP,6,7,18352,2521,0.001694,2294,2294,0,0.016932,0.018626,3968,15,6,51,16,34,1,0,0
