mode,search_strategy,ub_mode,instance_name,instance_type,n,instance_id,seed,initial_ub_cost,initial_ub_time_ms,best_cost,opt_cost,relative_error_percent,time_ms,total_time_ms,rss_kb,frontier_peak,max_depth,nodes_generated,nodes_expanded,nodes_pruned,solved,hit_time_limit,hit_memory_limit
compare_ub,dfs,none,generated_atsp_6_id6,ATSP,6,6,18351,-1,-1,1670,1670,0,0.022232,0.022232,3940,11,6,59,26,23,1,0,0
compare_ub,dfs,rnn_ties,generated_atsp_6_id6,ATSP,6,6,18351,1670,0.002104,1670,1670,0,0.014578,0.016682,3940,3,5,29,8,21,1,0,0
compare_ub,lc,none,generated_atsp_6_id6,ATSP,6,6,18351,-1,-1,1670,1670,0,0.016862,0.016862,3940,22,6,32,10,21,1,0,0
compare_ub,lc,rnn_ties,generated_atsp_6_id6,ATSP,6,6,18351,1670,0.002164,1670,1670,0,0.013956,0.01612,3940,3,5,29,8,21,1,0,0
compare_ub,bfs,none,generated_atsp_6_id7,ATSP,6,7,18352,-1,-1,2059,2059,0,0.027772,0.027772,3940,120,6,217,97,109,1,0,0
compare_ub,bfs,rnn_ties,generated_atsp_6_id7,ATSP,6,7,18352,2059,0.002655,2059,2059,0,0.013245,0.0159,3940,2,5,21,6,15,1,0,0
compare_ub,dfs,none,generated_atsp_6_id7,ATSP,6,7,18352,-1,-1,2059,2059,0,0.019567,0.019567,3940,11,6,108,46,51,1,0,0
compare_ub,dfs,rnn_ties,generated_atsp_6_id7,ATSP,6,7,18352,2059,0.001763,2059,2059,0,0.013085,0.014848,3940,2,5,21,6,15,1,0,0
compare_ub,lc,none,generated_atsp_6_id7,ATSP,6,7,18352,-1,-1,2059,2059,0,0.014678,0.014678,3940,15,6,22,7,14,1,0,0
compare_ub,lc,rnn_ties,generated_atsp_6_id7,ATSP,6,7,18352,2059,0.001673,2059,2059,0,0.013295,0.014968,3940,3,5,21,6,15,1,0,0
compare_ub,bfs,none,generated_atsp_6_id8,ATSP,6,8,18353,-1,-1,1408,1408,0,0.027362,0.027362,3940,120,6,212,92,114,1,0,0
compare_ub,bfs,rnn_ties,generated_atsp_6_id8,ATSP,6,8,18353,2245,0.002364,1408,1408,0,0.01633,0.018694,3940,8,6,65,24,37,1,0,0
compare_ub,dfs,none,generated_atsp_6_id8,ATSP,6,8,18353,-1,-1,1408,1408,0,0.01572,0.01572,3940,11,6,54,21,27,1,0,0
compare_ub,dfs,rnn_ties,generated_atsp_6_id8,ATSP,6,8,18353,2245,0.002064,1408,1408,0,0.014908,0.016972,3940,5,6,50,18,28,1,0,0
compare_ub,lc,none,generated_atsp_6_id8,ATSP,6,8,18353,-1,-1,1408,1408,0,0.013726,0.013726,3940,11,6,16,5,10,1,0,0
compare_ub,lc,rnn_ties,generated_atsp_6_id8,ATSP,6,8,18353,2245,0.001703,1408,1408,0,0.013476,0.015179,3940,9,6,16,5,10,1,0,0
compare_ub,bfs,none,generated_atsp_6_id9,ATSP,6,9,18354,-1,-1,1954,1954,0,0.027182,0.027182,3940,120,6,213,93,113,1,0,0
compare_ub,bfs,rnn_ties,generated_atsp_6_id9,ATSP,6,9,18354,2098,0.002385,1954,1954,0,0.015269,0.017654,3940,6,6,49,16,32,1,0,0
compare_ub,dfs,none,generated_atsp_6_id9,ATSP,6,9,18354,-1,-1,1954,1954,0,0.016731,0.016731,3940,11,6,73,30,36,1,0,0
compare_ub,dfs,rnn_ties,generated_atsp_6_id9,ATSP,6,9,18354,2098,0.001673,1954,1954,0,0.013756,0.015429,3940,4,6,31,9,21,1,0,0
compare_ub,lc,none,generated_atsp_6_id9,ATSP,6,9,18354,-1,-1,1954,1954,0,0.015049,0.015049,3940,17,6,24,7,16,1,0,0
compare_ub,lc,rnn_ties,generated_atsp_6_id9,ATSP,6,9,18354,2098,0.001563,1954,1954,0,0.013947,0.01551,3940,7,6,24,7,16,1,0,0
compare_ub,bfs,none,generated_atsp_6_id10,ATSP,6,10,18355,-1,-1,1223,1223,0,0.026891,0.026891,3940,120,6,210,90,116,1,0,0
compare_ub,bfs,rnn_ties,generated_atsp_6_id10,ATSP,6,10,18355,1307,0.002354,1223,1223,0,0.013296,0.01565,3940,2,6,25,8,16,1,0,0
compare_ub,dfs,none,generated_atsp_6_id10,ATSP,6,10,18355,-1,-1,1223,1223,0,0.014558,0.014558,3940,11,6,38,15,19,1,0,0
compare_ub,dfs,rnn_ties,generated_atsp_6_id10,ATSP,6,10,18355,1307,0.001674,1223,1223,0,0.013094,0.014768,3940,2,6,23,7,15,1,0,0
compare_ub,lc,none,generated_atsp_6_id10,ATSP,6,10,18355,-1,-1,1223,1223,0,0.014698,0.014698,3940,16,6,23,7,15,1,0,0
compare_ub,lc,rnn_ties,generated_atsp_6_id10,ATSP,6,10,18355,1307,0.001553,1223,1223,0,0.013255,0.014808,3940,2,6,23,7,15,1,0,0
compare_ub,bfs,none,generated_atsp_6_id11,ATSP,6,11,18356,-1,-1,1341,1341,0,0.02643,0.02643,3940,120,6,211,91,115,1,0,0
compare_ub,bfs,rnn_ties,generated_atsp_6_id11,ATSP,6,11,18356,1341,0.002755,1341,1341,0,0.012583,0.015338,3940,1,4,13,3,10,1,0,0
compare_ub,dfs,none,generated_atsp_6_id11,ATSP,6,11,18356,-1,-1,1341,1341,0,0.014748,0.014748,3940,11,6,41,17,19,1,0,0
compare_ub,dfs,rnn_ties,generated_atsp_6_id11,ATSP,6,11,18356,1341,0.002405,1341,1341,0,0.012624,0.015029,3940,1,4,13,3,10,1,0,0
compare_ub,lc,none,generated_atsp_6_id11,ATSP,6,11,18356,-1,-1,1341,1341,0,0.013696,0.013696,3940,11,6,16,5,10,1,0,0
compare_ub,lc,rnn_ties,generated_atsp_6_id11,ATSP,6,11,18356,1341,0.001843,1341,1341,0,0.012684,0.014527,3940,1,4,13,3,10,1,0,0
compare_ub,bfs,none,generated_atsp_6_id12,ATSP,6,12,18357,-1,-1,1229,1229,0,0.028905,0.028905,3940,120,6,213,93,113,1,0,0
compare_ub,bfs,rnn_ties,generated_atsp_6_id12,ATSP,6,12,18357,1229,0.002595,1229,1229,0,0.012103,0.014698,3940,1,2,6,1,5,1,0,0
compare_ub,dfs,none,generated_atsp_6_id12,ATSP,6,12,18357,-1,-1,1229,1229,0,0.016221,0.016221,3940,11,6,57,24,26,1,0,0
compare_ub,dfs,rnn_ties,generated_atsp_6_id12,ATSP,6,12,18357,1229,0.002204,1229,1229,0,0.012093,0.014297,3940,1,2,6,1,5,1,0,0
compare_ub,lc,none,generated_atsp_6_id12,ATSP,6,12,18357,-1,-1,1229,1229,0,0.014077,0.014077,3940,11,6,16,5,10,1,0,0
compare_ub,lc,rnn_ties,generated_atsp_6_id12,ATSP,6,12,18357,1229,0.001733,1229,1229,0,0.012073,0.013806,3940,1,2,6,1,5,1,0,0
compare_ub,bfs,none,generated_atsp_6_id13,ATSP,6,13,18358,-1,-1,1177,1177,0,0.027632,0.027632,3940,120,6,212,92,114,1,0,0
compare_ub,bfs,rnn_ties,generated_atsp_6_id13,ATSP,6,13,18358,1177,0.002234,1177,1177,0,0.012414,0.014648,3940,1,4,13,3,10,1,0,0
compare_ub,dfs,none,generated_atsp_6_id13,ATSP,6,13,18358,-1,-1,1177,1177,0,0.014888,0.014888,3940,11,6,42,18,18,1,0,0
compare_ub,dfs,rnn_ties,generated_atsp_6_id13,ATSP,6,13,18358,1177,0.001683,1177,1177,0,0.012413,0.014096,3940,1,4,13,3,10,1,0,0
